week,job_hour_2h,city_id,avg_score_per_earner
1,0,3,1.8499999999999999
1,0,4,6.210000000000001
1,0,5,6.4399999999999995
1,2,3,4.535
1,2,4,5.640000000000001
1,2,5,2.6449999999999996
1,4,2,2.7350000000000003
1,4,4,1.6900000000000002
1,4,5,0.8699999999999999
1,6,1,4.08
1,6,3,9.495000000000001
1,6,4,3.70625
1,6,5,4.165
1,8,2,4.319999999999999
1,8,4,9.935
1,8,5,3.17
1,10,1,1.6600000000000006
1,10,2,5.700000000000001
1,10,4,6.415000000000001
1,12,1,10.2
1,14,1,4.1899999999999995
1,14,2,1.46
1,14,4,2.4699999999999998
1,16,4,1.5699999999999998
1,18,5,1.19
1,20,1,2.5250000000000004
1,20,5,0.9416666666666665
1,22,1,4.63
1,22,3,1.7000000000000002
1,22,4,4.055
1,22,5,4.55
1,24,2,1.0749999999999997
1,24,4,2.1899999999999995
1,26,2,8.75
1,28,1,4.005
1,30,1,4.880000000000001
1,30,4,10.445
1,32,3,2.295
1,34,1,6.635
1,34,2,3.0949999999999998
1,34,4,1.22
1,36,2,2.405
1,38,1,1.5725
1,38,3,0.5549999999999999
1,40,2,4.72
1,40,3,0.3650000000000002
1,40,5,0.1200000000000001
1,42,1,9.51
1,42,2,10.475
1,42,3,8.934999999999999
1,42,4,2.13
1,44,1,3.09
1,44,2,2.01
1,44,3,1.3333333333333333
1,44,4,4.165
1,44,5,1.81
1,46,1,5.1625
1,46,2,1.0550000000000002
1,46,4,7.045
1,46,5,0.5750000000000002
1,48,1,1.745
1,48,2,3.2849999999999993
1,48,3,1.975
1,48,4,7.97
1,48,5,2.465
1,50,2,6.835
1,50,5,5.17
1,52,1,4.75
1,52,2,2.505
1,52,3,2.3899999999999997
1,52,4,5.76
1,54,5,1.7999999999999998
1,56,2,1.82
1,56,5,6.33
1,58,1,6.745000000000001
1,58,2,3.91
1,58,3,2.9566666666666666
1,60,2,2.848333333333333
1,60,3,2.7699999999999996
1,60,5,4.505
1,64,1,0.915
1,64,3,2.7074999999999996
1,66,1,3.485
1,66,3,6.715
1,66,5,2.8550000000000004
1,68,1,12.98
1,68,3,3.4600000000000004
1,68,4,1.8699999999999999
1,70,1,3.5774999999999997
1,70,2,8.035
1,70,3,11.585
1,70,5,2.745
1,72,3,5.1899999999999995
1,72,4,3.45
1,72,5,0.8099999999999998
1,74,1,0.7999999999999998
1,74,2,1.1700000000000002
1,76,1,2.793333333333333
1,76,2,6.625
1,76,5,1.6799999999999997
1,78,3,-0.14250000000000007
1,78,4,1.905
1,82,2,3.1275
1,82,3,10.469999999999999
1,82,4,3.01
1,82,5,2.6700000000000004
1,84,1,5.227499999999999
1,84,2,0.8799999999999999
1,84,5,1.1949999999999998
1,86,1,4.319999999999999
1,86,2,4.056666666666667
1,86,3,5.35
1,86,5,6.84
1,88,3,7.1425
1,88,4,4.6850000000000005
1,90,2,2.3749999999999996
1,90,3,1.31
1,90,4,10.38
1,90,5,2.8449999999999998
1,92,2,7.548333333333333
1,92,4,2.28
1,92,5,1.58
1,94,1,8.275
1,94,2,4.59
1,94,4,2.33
1,96,1,3.3349999999999995
1,96,2,6.137500000000001
1,96,4,1.6649999999999998
1,96,5,2.9350000000000005
1,98,3,5.545
1,100,1,4.285
1,100,3,2.1325000000000003
1,100,4,2.2
1,100,5,5.1625
1,102,1,2.71
1,102,3,4.82
1,102,4,3.0925
1,104,1,3.7350000000000003
1,104,3,2.6125
1,104,4,2.285
1,106,1,5.655
1,106,2,3.0299999999999994
1,106,3,8.375
1,106,4,6.295
1,106,5,3.1350000000000002
1,108,1,3.5300000000000002
1,108,2,6.835000000000001
1,108,5,7.074999999999999
1,110,1,4.855
1,110,2,2.1849999999999996
1,110,4,1.2149999999999999
1,110,5,5.695
1,112,2,2.7399999999999998
1,112,3,3.6700000000000004
1,114,1,6.135
1,114,2,3.13
1,114,3,0.4650000000000003
1,114,4,3.6300000000000003
1,116,3,6.657499999999999
1,116,5,0.42500000000000027
1,118,2,1.35
1,118,3,7.774999999999999
1,118,5,5.165000000000001
1,120,1,3.1449999999999996
1,120,2,1.6099999999999999
1,120,3,5.7
1,122,1,4.345000000000001
1,122,2,0.13000000000000034
1,124,5,2.5399999999999996
1,126,1,0.5249999999999999
1,126,4,7.32
1,128,2,0.6150000000000002
1,130,1,7.629999999999999
1,130,3,5.7925
1,130,5,3.8049999999999997
1,134,1,3.3299999999999996
1,134,4,6.440000000000001
1,136,3,9.040000000000001
1,138,1,0.08999999999999986
1,138,3,9.232500000000002
1,138,4,1.3599999999999999
1,140,1,0.7400000000000002
1,140,3,2.45
1,140,4,-0.355
1,140,5,1.94
1,142,4,1.7599999999999998
1,142,5,5.27
1,144,3,5.705
1,144,4,5.88
1,144,5,2.875
1,146,1,9.25
