city_id,hexagon_id9,job_count,cancellation_rate_pct,msg.city_id,msg.map_id,msg.currency_code,msg.earnings_heatmap_type,msg.predictions.hexagon_id_9,msg.predictions.predicted_eph,msg.predictions.predicted_std,msg.predictions.in_final_heatmap,hex_score
1,89006b0cd89bafa,1,3.19,1,map-1,EUR,supply_demand,89006b0cd89bafa,22.18,4.28,True,1.3743019700670045
1,89009ee895aef1a,1,4.11,1,map-1,EUR,supply_demand,89009ee895aef1a,18.15,1.62,True,3.0887384724644353
1,8900a1e8c1d3063,1,6.12,1,map-1,EUR,supply_demand,8900a1e8c1d3063,21.24,4.66,True,0.8940111169313705
1,8900b8a822cf4dd,1,3.71,1,map-1,EUR,supply_demand,8900b8a822cf4dd,25.47,5.03,True,1.2867146211845166
1,8900de9ec6aaa4a,1,4.06,1,map-1,EUR,supply_demand,8900de9ec6aaa4a,24.13,4.86,True,1.2221353024688064
1,8901740d50cbf90,1,6.51,1,map-1,EUR,supply_demand,8901740d50cbf90,10.04,4.61,True,0.14099155035014196
1,890212a91086353,1,1.19,1,map-1,EUR,supply_demand,890212a91086353,29.51,5.0,True,1.7902290819920599
1,89023c74731f3cf,1,4.2,1,map-1,EUR,supply_demand,89023c74731f3cf,27.39,4.17,True,1.6891325606915757
1,8903b8bd23a462b,1,1.94,1,map-1,EUR,supply_demand,8903b8bd23a462b,10.63,5.34,True,0.5418203355144423
1,8903dec841d4be5,1,2.54,1,map-1,EUR,supply_demand,8903dec841d4be5,25.15,4.28,True,1.6474794915208542
1,8903ef918c210e0,1,6.89,1,map-1,EUR,supply_demand,8903ef918c210e0,14.57,4.29,True,0.4685103174917369
1,8904406d7ed9715,1,7.2,1,map-1,EUR,supply_demand,8904406d7ed9715,20.33,1.68,True,3.0489844180435473
1,89045488ae85f67,1,1.19,1,map-1,EUR,supply_demand,89045488ae85f67,21.42,4.56,True,1.4288396533904504
1,89047a12a32b139,1,4.19,1,map-1,EUR,supply_demand,89047a12a32b139,20.64,3.53,True,1.4737365879229942
1,89048bf6d3bde2f,1,4.04,1,map-1,EUR,supply_demand,89048bf6d3bde2f,17.59,4.58,True,0.8868125906571519
1,8904b1f4bcbfe75,1,1.97,1,map-1,EUR,supply_demand,8904b1f4bcbfe75,21.75,1.61,True,3.9944219499054583
1,8904b97da4804de,1,5.8,1,map-1,EUR,supply_demand,8904b97da4804de,19.75,1.31,True,4.081526746877401
1,8905585a61ce2fb,1,1.95,1,map-1,EUR,supply_demand,8905585a61ce2fb,24.42,2.97,True,2.4102952722514384
1,890565c8d416f6d,1,2.21,1,map-1,EUR,supply_demand,890565c8d416f6d,13.74,3.76,True,1.013905740293823
1,8905893c1e22911,1,8.98,1,map-1,EUR,supply_demand,8905893c1e22911,14.91,4.24,True,0.295582017491097
1,89058e469e144f9,1,6.01,1,map-1,EUR,supply_demand,89058e469e144f9,18.04,4.26,True,0.8080516731020744
1,890591329181b06,1,2.77,1,map-1,EUR,supply_demand,890591329181b06,18.84,5.34,True,0.920056204196864
1,890594c383e52d1,1,2.14,1,map-1,EUR,supply_demand,890594c383e52d1,25.06,1.6,True,4.623376499395073
1,89059c90bd813e4,1,1.19,1,map-1,EUR,supply_demand,89059c90bd813e4,23.59,4.0,True,1.7888789937995997
1,89065476b4f0055,1,4.72,1,map-1,EUR,supply_demand,89065476b4f0055,25.35,4.72,True,1.2778579083093469
1,8906aa3a2b5e96a,1,5.38,1,map-1,EUR,supply_demand,8906aa3a2b5e96a,20.73,5.34,True,0.7652359595939136
1,8906b634a9a3f99,1,1.28,1,map-1,EUR,supply_demand,8906b634a9a3f99,25.29,4.21,True,1.8127667752717658
1,8906b7f55cb7627,1,3.26,1,map-1,EUR,supply_demand,8906b7f55cb7627,27.4,2.34,True,3.3254484477277955
1,8906c73ac8a462c,1,1.82,1,map-1,EUR,supply_demand,8906c73ac8a462c,35.0,1.34,True,7.792444484011207
1,89070fdfb4225a8,1,3.8,1,map-1,EUR,supply_demand,89070fdfb4225a8,15.35,1.38,True,3.095583539768436
1,8907390cc9678bb,1,2.64,1,map-1,EUR,supply_demand,8907390cc9678bb,23.91,3.31,True,2.0416982678132483
1,890771d79c0f256,1,5.23,1,map-1,EUR,supply_demand,890771d79c0f256,23.08,2.69,True,2.189606174410599
1,89077338ef637f7,1,1.41,1,map-1,EUR,supply_demand,89077338ef637f7,29.16,5.39,True,1.6206347008605484
1,890777bbddec459,1,4.72,1,map-1,EUR,supply_demand,890777bbddec459,21.81,1.61,True,3.7306020671848885
1,8907a8734e2a1ee,1,1.29,1,map-1,EUR,supply_demand,8907a8734e2a1ee,33.9,3.23,True,3.158235272456931
1,89083309eb53f0a,1,7.62,1,map-1,EUR,supply_demand,89083309eb53f0a,18.94,2.86,True,1.3633420281705235
1,890837aa201a60d,1,3.36,1,map-1,EUR,supply_demand,890837aa201a60d,26.86,3.29,True,2.2518688132428775
1,89086bc22cff227,1,1.72,1,map-1,EUR,supply_demand,89086bc22cff227,29.65,4.51,True,1.9389128125458301
1,8908b5a3f8975cf,1,8.43,1,map-1,EUR,supply_demand,8908b5a3f8975cf,25.38,4.81,True,0.8785812899681524
1,8908fa185a82aa8,1,2.63,1,map-1,EUR,supply_demand,8908fa185a82aa8,18.95,4.55,True,1.1250797109580823
1,89095717fd23377,1,1.19,1,map-1,EUR,supply_demand,89095717fd23377,13.55,5.25,True,0.7939150029147383
1,89095923be77cf2,1,3.01,1,map-1,EUR,supply_demand,89095923be77cf2,25.59,1.33,True,5.6098055472577695
1,890961d665203cb,1,1.19,1,map-1,EUR,supply_demand,890961d665203cb,17.17,1.44,True,3.5967102853614
1,890961ebc46bea7,1,6.5,1,map-1,EUR,supply_demand,890961ebc46bea7,24.64,4.07,True,1.3048452060835438
1,8909adc6c6b6f69,1,2.38,1,map-1,EUR,supply_demand,8909adc6c6b6f69,22.76,3.02,True,2.161555839778743
1,8909adc7bd167fb,1,4.85,1,map-1,EUR,supply_demand,8909adc7bd167fb,23.16,4.65,True,1.1478226631672088
1,8909af063d52024,1,2.59,1,map-1,EUR,supply_demand,8909af063d52024,22.44,2.02,True,3.2123010536012875
1,890a0b0510c44bb,1,1.19,1,map-1,EUR,supply_demand,890a0b0510c44bb,22.55,4.84,True,1.417356420052695
1,890a79dbc6f6754,1,1.19,1,map-1,EUR,supply_demand,890a79dbc6f6754,25.55,1.39,True,5.534013958137514
1,890a97b58d581c0,1,3.41,1,map-1,EUR,supply_demand,890a97b58d581c0,12.45,3.93,True,0.7480108736739639
1,890aad509581136,1,5.03,1,map-1,EUR,supply_demand,890aad509581136,13.05,3.9,True,0.6394753325617591
1,890b274b8991bb4,1,1.92,1,map-1,EUR,supply_demand,890b274b8991bb4,22.96,5.42,True,1.2174779101251858
1,890c14a6fac858d,1,5.07,1,map-1,EUR,supply_demand,890c14a6fac858d,25.74,4.76,True,1.25389800286229
1,890c7b48bd08000,1,1.19,1,map-1,EUR,supply_demand,890c7b48bd08000,18.31,3.64,True,1.5286949555994835
1,890cd359726fed0,1,1.19,1,map-1,EUR,supply_demand,890cd359726fed0,17.96,1.67,True,3.2459748095578735
1,890d6aaf7f14fd4,1,4.55,1,map-1,EUR,supply_demand,890d6aaf7f14fd4,23.38,5.41,True,0.9801171816780248
1,890d90e02fce5eb,1,5.6,1,map-1,EUR,supply_demand,890d90e02fce5eb,19.87,3.29,True,1.3904829887400885
1,890eac6c6ffc233,1,2.27,1,map-1,EUR,supply_demand,890eac6c6ffc233,23.02,4.68,True,1.3872701464451704
1,890ebf823bcbe4e,1,3.88,1,map-1,EUR,supply_demand,890ebf823bcbe4e,18.96,2.31,True,2.212966032503073
1,890eec4d7a91a34,1,5.4,1,map-1,EUR,supply_demand,890eec4d7a91a34,19.34,3.22,True,1.400492230564537
1,890ef1c50da09a7,1,1.67,1,map-1,EUR,supply_demand,890ef1c50da09a7,21.41,5.0,True,1.2562291791920404
1,890f5c9b5567ac0,1,7.3,1,map-1,EUR,supply_demand,890f5c9b5567ac0,25.32,4.14,True,1.2434116016235435
1,890f5f08a7e723d,1,4.35,1,map-1,EUR,supply_demand,890f5f08a7e723d,21.0,3.17,True,1.691010512647927
1,890fab19881a9a1,1,4.7,1,map-1,EUR,supply_demand,890fab19881a9a1,19.08,2.65,True,1.828628621017957
1,890fac131bf2250,1,2.67,1,map-1,EUR,supply_demand,890fac131bf2250,15.59,1.62,True,2.758664691028498
1,890fc464d9e3648,1,2.57,1,map-1,EUR,supply_demand,890fc464d9e3648,16.37,3.27,True,1.3834638392207346
1,89100b03b335efd,1,1.59,1,map-1,EUR,supply_demand,89100b03b335efd,16.22,4.22,True,1.132709731590592
1,89101ec0ac8efc8,1,3.81,1,map-1,EUR,supply_demand,89101ec0ac8efc8,24.72,2.39,True,2.8605570081088203
1,8910e3532bb8fb4,1,1.44,1,map-1,EUR,supply_demand,8910e3532bb8fb4,22.93,3.44,True,1.9943381571268957
1,891109908e0ffd3,1,4.46,1,map-1,EUR,supply_demand,891109908e0ffd3,24.92,5.22,True,1.1248130697932854
